RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000081,3.4,1.1,0.005,0.01,100,30,100,1,15,50,645.495146,6.45495146,6.142118454,4.323224883,0,15.88742828,95.5,67.15678599,71.5,23.42600721,-0.6828009499,2.671409944
run_000082,3.4,1.1,0.001,0.02,100,30,60,1,15,50,36920.29555,369.2029555,417.2937775,179.5847641,7.892172337,606.7247314,98.5,63.40364487,65.5,23.6596673,-0.3795805306,2.200459003
run_000083,3.4,1.1,0.001,0.02,100,30,65,1,15,50,19084.48361,190.8448361,206.1772156,103.7943231,0.9184707403,336.0063171,92.5,65.25909689,68.5,23.0970216,-0.4695059473,2.341745037
run_000084,3.4,1.1,0.001,0.02,100,30,70,1,15,50,11327.75687,113.2775687,116.7402077,65.99344552,1.945828676,245.8057098,99.5,66.50555153,70.5,23.00430812,-0.5190663825,2.382079446
run_000085,3.4,1.1,0.001,0.02,100,30,75,1,15,50,7407.603427,74.07603427,77.92480087,44.54488443,0,153.769104,98.5,66.8893085,70.5,22.70428234,-0.5421346242,2.449882679
run_000086,3.4,1.1,0.001,0.02,100,30,80,1,15,50,5093.617812,50.93617812,51.50613594,31.46440902,0.968583703,108.9912491,84.5,67.26433104,70.5,22.75645364,-0.5833766892,2.517545998
run_000087,3.4,1.1,0.001,0.02,100,30,85,1,15,50,3798.998718,37.98998718,36.72891617,23.96950219,2.792682171,77.14270782,81.5,67.36701015,71.5,22.99217289,-0.6255521448,2.592073522
run_000088,3.4,1.1,0.001,0.02,100,30,90,1,15,50,2830.202804,28.30202804,26.00631618,17.92595212,0,66.03505707,98.5,67.36525973,71.5,23.29438668,-0.6105954344,2.482300797
run_000089,3.4,1.1,0.001,0.02,100,30,95,1,15,50,2160.743599,21.60743599,21.15380192,14.62284762,0,58.86957169,94.5,68.34783122,72.5,23.01970895,-0.648357832,2.604987317
run_000090,3.4,1.1,0.001,0.02,100,30,100,1,15,50,1811.986146,18.11986146,17.52505302,11.82570655,0,45.61729431,86.5,67.42344474,71.5,23.21646082,-0.5959846499,2.49372596
run_000091,3.4,1.1,0.0015,0.02,100,30,60,1,15,50,35564.90767,355.6490767,406.4230042,170.501812,7.834298134,561.4052124,97.5,63.06037865,65.5,23.63083693,-0.3663947029,2.181756907
run_000092,3.4,1.1,0.0015,0.02,100,30,65,1,15,50,18261.56198,182.6156198,209.2670822,97.34686927,5.655809402,320.9586792,85.5,64.91883347,67.5,23.23054024,-0.452022892,2.299447983
run_000093,3.4,1.1,0.0015,0.02,100,30,70,1,15,50,10983.29905,109.8329905,117.4013329,62.77359514,2.870141268,211.6204681,97.5,66.09992825,69.5,22.93404685,-0.5003545219,2.377264213
run_000094,3.4,1.1,0.0015,0.02,100,30,75,1,15,50,7180.685741,71.80685741,74.80323792,41.87363049,0.9484454989,153.6220703,93.5,66.44838934,70.5,23.24083884,-0.5514810889,2.41927111
run_000095,3.4,1.1,0.0015,0.02,100,30,80,1,15,50,4968.654211,49.68654211,50.71235275,30.8677556,0,107.7663269,98.5,67.40038116,70.5,22.77505214,-0.5583670945,2.46201725
run_000096,3.4,1.1,0.0015,0.02,100,30,85,1,15,50,3679.383496,36.79383496,36.74159813,22.0172606,0,75.82330322,93.5,66.56018667,70.5,23.18430296,-0.5439283856,2.396600068
run_000097,3.4,1.1,0.0015,0.02,100,30,90,1,15,50,2802.761406,28.02761406,27.39413166,17.29777181,0.9347063303,68.49556732,96.5,66.85061893,70.5,23.52757276,-0.5854896302,2.459062325
run_000098,3.4,1.1,0.0015,0.02,100,30,95,1,15,50,2161.655357,21.61655357,20.98957634,13.49482613,0.8981244564,44.80773163,92.5,67.12244642,71.5,23.15611415,-0.6374986592,2.583691138
run_000099,3.4,1.1,0.0015,0.02,100,30,100,1,15,50,1646.170297,16.46170297,15.77757692,11.17134839,0,42.75816727,95.5,68.51326025,73.5,23.06875516,-0.7255105439,2.758532268
run_000100,3.4,1.1,0.002,0.02,100,30,60,1,15,50,34647.81317,346.4781317,403.8131409,164.8021216,0.9655883312,548.973877,93.5,62.90206009,65.5,23.6407936,-0.3528769572,2.175684172
run_000101,3.4,1.1,0.002,0.02,100,30,65,1,15,50,17806.29753,178.0629753,198.3238754,94.37773517,6.661772728,336.1098328,95.5,64.79681374,67.5,23.35129485,-0.4403441645,2.276998517
